title,description,url
"IQB Mathematik Primarstufe, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Mathematik in der Primarstufe (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p11/master/profile-config.json
"IQB Deutsch Primarstufe, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Deutsch in der Primarstufe (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p12/master/profile-config.json
"IQB Englisch Sekundarstufe I, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Englisch in der Sekundarstufe I (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p53/master/profile-config.json
"IQB Französisch Sekundarstufe I, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Französisch in der Sekundarstufe I (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p52/master/profile-config.json
"IQB BT-Fragebögen, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der BT-Fragebögen",https://raw.githubusercontent.com/iqb-vocabs/p60/master/profile-config.json
"VerbundFDB: Kernset Bildungsforschung","Metadatenprofile zur Verbesserung der Metadatenqualität hat sich der VerbundFDB mit dem erweiterten Partnerkreis auf ein Kernset von Metadaten geeinigt.",https://raw.githubusercontent.com/iqb-vocabs/p80/master/profile-config.json
"IQB Deutsch Sekundarstufe I, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Deutsch in der Sekundarstufe I (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p16/master/profile-config.json
"IQB Deutsch Primarstufe 2004, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Deutsch in der Primarstufe (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p14/master/profile-config.json
"IQB Deutsch Sekundarstufe I 2003, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Deutsch in der Sekundarstufe I (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p17/master/profile-config.json
"IQB Mathematik Primarstufe 2004, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Mathematik in der Primarstufe (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p15/master/profile-config.json
"IQB Englisch Sekundarstufe I 2003/2004, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Englisch in der Sekundarstufe I (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p54/master/profile-config.json
"IQB Französisch Sekundarstufe I 2003/2004, Aufgaben und Items","Metadatenprofile für Aufgaben und Items des IQB im Rahmen der Aufgabenentwicklung für Französisch in der Sekundarstufe I (VERA, Bildungstrend)",https://raw.githubusercontent.com/iqb-vocabs/p55/master/profile-config.json
"IQB Testprofil, Aufgaben und Items","Lange Description Testprofil",https://raw.githubusercontent.com/iqb-vocabs/p99/master/profile-config.json
